	Egg_1	Egg_2	Juvenile_1	Juvenile_2	Met_1	Met_2	Adult_1	Adult_2
rnd-1_family-850#DNA/CMC-EnSpm	21736.3	22103.5	1111.23	1213.51	20610.2	20308.2	882.44	248.819
rnd-1_family-355#LINE/CR1-Zenon	17634.3	17176.4	1752.87	1700.15	8196.99	8378.4	565.82	327.468
rnd-4_family-1109#Unknown	20365.5	21326.6	2434.77	1993.31	4955.59	4915.87	1054.20	854.468
rnd-1_family-894#Unknown	27837.2	31087.4	423.502	338.795	11154.6	9571.25	239.23	528.909
rnd-1_family-136#Unknown	83673.9	73369.00	4258.02	2438.22	13690	9206.68	818.78	1069.49
rnd-1_family-823#LTR/Gypsy	482186	501827.00	152928	165500	510869	514367	16854.30	17305.9
rnd-1_family-760#LTR/Gypsy	42246.2	41401.9	13704	13482	71309.6	69453.5	1401.33	1629.67
rnd-1_family-297#Unknown	173902	171983.00	927.87	744.256	568.706	548.533	342.34	588.99
rnd-1_family-132#LTR/Gypsy	37577.1	35740.1	5152.22	4853.41	1141.75	1176.21	2347.70	1033.01
rnd-6_family-21#Unknown	14753.2	14594.3	36.8531	20.782	48.3146	53.8497	20.32	32.7984
rnd-6_family-2447#Unknown	2000.29	2393.94	76.7133	153.426	662.133	677.043	25.62	13.6341
rnd-1_family-357#DNA/CMC-EnSpm	1130.8	743.147	121.443	106.397	403.501	408.053	24.19	18.4817
rnd-5_family-79#LINE/CR1	670.352	618.027	253.921	239.588	9.14998	5.79396	30.98	54.2216
rnd-1_family-76#LINE/CR1	675.79	612.352	412.654	444.97	4.32882	6.65704	45.39	58.4049
rnd-1_family-338#LINE/CR1	735.384	920.977	436.483	480.786	4.24639	2.53986	32.14	70.0379
rnd-6_family-155#LTR/Pao	539.829	462.019	14.7622	13.7716	1.16201	0.521179	34.36	13.3965
rnd-5_family-36#LTR/Gypsy	647.194	414.709	28.0375	27.678	10.0144	13.475	55.53	27.0175
rnd-6_family-673#Unknown	15.621	28.7994	330.778	340.396	2226489	22.9635	38.14	15.5021
MK640195.1	16741.9	16876.2	502561	492320	14577.8	14386.9	43697.50	772072
MK640194.1	2196.39	1635.81	17799.7	17794.8	43339.3	43240.2	801375	21770.1
MH267611.1	11513.6	5503.75	111994	116378	1253.55	1589.87	10274.50	24968.4
MG457758.1	1841.27	2416.68	90336.1	89619.9	282.189	314.384	93677.30	124533
MH230107.1	24829.7	24127.5	1249.06	1383.05	337.245	309.368	625.43	1951.52
EU195859.2	14248.4	12288.7	90223.6	86942.2	296558	301028	23407.10	30807.4
AF286861.1	301.579	349.042	1432.65	1470.5	0	15.3172	2129.82	6.62554
